Popularity,Stie,Relate 1,Distance,Relate 2,Distance,Relate 3,Distance,Relate 4,Distance,Relate 5,Distance,Relate 6,Distance,Relate 7,Distance,Relate 8,Distance,Relate 9,Distance,Relate 10,Distance
1,天安門廣場,景山公園,3345,天安門城樓,510,太和殿,1437,毛主席紀念堂,329,午門,1086,王府井步行街,2041,四季民福烤鴨店（故宮店）,2641,海碗居(王府井店),12777,王府井天主教堂,2705,中國國家博物館,1085
2,北京故宮,前門大街,3107,北海公園,2091,中國國家博物館,1983,天壇,5864,南鑼鼓巷,3634,毛主席紀念堂,1691,人民英雄紀念碑,2767,匯友湘菜,2501,王府井小吃街,1809,北京全聚德(王府井店),1979
3,南鑼鼓巷,北海公園,2681,什剎海,2530,煙袋斜街,1523,恭王府,2165,王府井小吃街,4543,後海公園,2448,銀錠橋,1443,北京鼓樓,1051,牛街,12376,簋街小吃,2768
4,頤和園,清華大學,5317,北京大學,4885,圓明園,5929,國家游泳中心,15696,四季民福烤鴨店（燈市口店）,21548,北京國家體育場,14321,中央廣播電視塔,12490,北京動物園,12174,北京玲瓏塔,15017,香山公園,8337
5,圓明園,北京大學,3976,清華大學,3602,頤和園,5948,四季民福烤鴨店（燈市口店）,20036,北京國家體育場,12647,昆明湖,5699,香山公園,16203,北京動物園,13013,中央廣播電視塔,13329,三里屯,21901
6,天壇,北京全聚德(王府井店),4141,人民英雄紀念碑,4093,國家大劇院,4804,西單商業街,6647,長安街,2216451,簋街小吃,12353,王府井小吃街,4096,慶豐包子鋪(西三旗店),33630,人民大會堂,5038,北京中央電視臺,10148
7,什剎海,後海公園,1104,文宇奶酪店(南鑼鼓巷店),2107,北海公園,3582,南鑼鼓巷,2130,北京鼓樓,3025,煙袋斜街,1212,恭王府,2750,姚記炒肝店（鼓樓店）,2569,北京鐘樓,3025,一朵一果(南鑼鼓巷店),2030
8,北京國家體育場,北京玲瓏塔,911,北京動物園,11425,北京奧林匹克公園,602,雍和宮,7346,四季民福烤鴨店（燈市口店）,9863,居庸關長城,48378,中央廣播電視塔,18095,奧林匹克森林公園,602,柏林寺,7826,香山公園,21881
9,景山公園,天安門廣場,3262,天安門城樓,3228,太和殿,2436,毛主席紀念堂,3592,午門,2266,王府井步行街,2973,四季民福烤鴨店（故宮店）,2448,海碗居(王府井店),8145,中國國家博物館,3837,王府井天主教堂,2743
10,王府井步行街,毛主席紀念堂,2434,中國國家博物館,2299,四季民福烤鴨店（故宮店）,1289,王府井小吃街,53,人民大會堂,2148,國家大劇院,3580,北京角樓,3373,海碗居(王府井店),14078,簋街小吃,5260,僑福芳草地購物中心,6536
